Participant,Code,Gender,Language Background,,,,,,
1,101,non-binary,"English, Russian",,,,,,
2,101,transgender,"English, Spanish",,,,,,
3,111,female,"English, Mandarin ",,female,157,,,
4,111,male,"English, Mandarin",,male,33,,,
5,101,female,"English, Spanish",,no response,2,,,
6,111,female,"English, Mandarin",,non-binary,1,,,
7,112,female,"English, Urdu",,transgender,1,,,
8,100,male,English,,,194,,,
9,100,female,English,,,,,,
10,100,female,English,,,194,,,
11,100,female,English,,,,,,
12,101,female,"English, Spanish",,,,,,
13,100,female,English,,,,,,
14,100,female,English,,,,,,
15,100,female,English,,,,,,
16,100,female,English,,,,,,
17,100,female,English,,,,,,
18,101,female,"English, Portuguese Creole",,,,,,
19,100,female,English,,,,,,
20,101,female,"English, Spanish",,,,,,
23,101,male,"English, Spanish",,,,,,
25,100,female,English,,,,,,
26,111,male,"English, Chinese",,,,,,
27,111,female,"English, Mandarin Chinese",,,,,,
28,100,female,English,,,,,,
29,100,female,English,,,,,,
30,112,female,"English, Hindi",,,,,,
31,100,female,English,,,,,,
32,111,female,"English, Cantonese",,,,,,
33,100,male,English,,,,,,
34,112,male,"English, Telugu",,,,,,
35,100,female,English,,,,,,
36,100,female,English,,,,,,
37,113,female,"English, Khmer, Spanish",,,,,,
38,101,female,"English, Greek",,,,,,
40,100,female,English,,,,,,
41,100,female,English,,,,,,
42,101,male,"English, Polish",,,,,,
43,100,male,English,,,,,,
44,100,male,English,,,,,,
45,101,female,"English, Spanish",,,,,,
46,100,female,English,,,,,,
47,100,female,English,,,,,,
48,100,male,English,,,,,,
49,100,female,English,,,,,,
50,101,female,"English, Hebrew",,,,,,
51,100,female,English,,,,,,
52,100,female,English,,,,,,
53,112,male,"English, Telugu",,,,,,
54,100,female,English,,,,,,
55,100,male,English,,,,,,
56,100,female,English,,,,,,
58,101,female,"English, Greek, Hebrew, Albanian",,,,,,
59,100,female,English,,,,,,
78,100,female,English,,,,,,
87,112,female,"English, Telugu",,,,,,
90,100,female,English,,,,,,
91,101,female,"English, Russian",,,,,,
96,100,female,English,,,,,,
105,100,female,English,,,,,,
110,101,male,"English, Spanish",,,,,,
111,111,female,"English, Mandarin",,,,,,
115,101,female,"English, Twi",,,,,,
121,101,female,"English, Russian",,,,,,
123,100,female,English,,,,,,
125,100,female,English,,,,,,
129,111,female,"English, Mandarin",,,,,,
132,101,female,"English, Arabic",,,,,,
133,100,female,English,,,,,,
135,100,female,English,,,,,,
148,111,female,"English, Mandarin",,,,,,
151,100,female,English,,,,,,
152,100,female,English,,,,,,
153,100,female,English,,,,,,
155,111,male,"English, Cantonese",,,,,,
156,112,female,"English, Kannada",,,,,,
157,101,female,"English, Spanish",,,,,,
158,101,female,"English, Spanish",,,,,,
159,111,no response,"English, Chinese",,,,,,
160,100,female,English,,,,,,
161,111,female,"English, Mandarin",,,,,,
162,111,male,"English, Cantonese",,,,,,
163,101,female,"English, Hebrew",,,,,,
164,112,female,"English, Malayalam, Tamil, Hindi",,,,,,
165,101,female,"English, Russian",,,,,,
166,100,female,English,,,,,,
167,101,female,"English, Spanish",,,,,,
168,101,female,"English, Spanish",,,,,,
169,111,female,"English, Mandarin",,,,,,
500,100,female,English,,,,,,
501,101,female,"English, Russian",,,,,,
502,111,female,"English, Korean",,,,,,
503,100,female,English,,,,,,
504,100,female,English,,,,,,
505,100,female,English,,,,,,
506,100,female,English,,,,,,
507,100,male,English,,,,,,
508,100,female,English,,,,,,
509,100,male,English,,,,,,
510,112,male,"English, Malayalam",,,,,,
511,100,female,English,,,,,,
512,100,female,English,,,,,,
513,112,female,"English, Gujurati",,,,,,
514,112,female,"English, Hindi, Telugu",,,,,,
515,100,female,English,,,,,,
516,111,female,"English, Korean",,,,,,
517,100,female,English,,,,,,
518,100,female,English,,,,,,
519,101,female,"English, Russian",,,,,,
520,100,female,English,,,,,,
521,101,female,"English, Arabic",,,,,,
522,101,female,"English, Spanish",,,,,,
525,112,female,"English, Hindi",,,,,,
526,100,female,English,,,,,,
527,100,female,English,,,,,,
528,113,male,"English, Filipino, Cebuano",,,,,,
529,113,female,"English, Vietnamese",,,,,,
530,100,male,English,,,,,,
601,101,female,"English, German, Italian, Spanish",,,,,,
603,101,female,"English, French",,,,,,
604,101,female,"English, Spanish, French, Japanese",,,,,,
605,101,female,"English, Spanish, French",,,,,,
608,101,female,"English, Italian, Spanish",,,,,,
611,101,female,"English, Russian",,,,,,
612,101,female,"English, Russian",,,,,,
613,101,no response,"English, Polish",,,,,,
614,101,female,"English, Spanish, German",,,,,,
615,101,female,"English, Greek",,,,,,
616,101,female,"English, Spanish, German",,,,,,
618,101,female,"English, Greek",,,,,,
619,101,female,"English, Russian, Belarusian, Ukranian",,,,,,
620,101,male,"English, Greek, Russian",,,,,,
621,101,male,"English, Russian, French",,,,,,
622,101,female,"English, Greek",,,,,,
623,112,female,"English, Bengali, Hindi",,,,,,
626,112,female,"English, Urdu, Punjabi, Hindi",,,,,,
627,112,female,"English, Bengali",,,,,,
628,112,female,"English, Urdu",,,,,,
631,112,female,"English, Bengali",,,,,,
632,112,female,"English, Urdu",,,,,,
633,112,female,"English, Urdu, Hindi",,,,,,
634,112,female,"English, Urdu, Hindi, Punjabi",,,,,,
635,112,male,"English, Bengali",,,,,,
636,112,female,"English, Urdu",,,,,,
637,112,female,"English, Gujarati",,,,,,
641,112,female,"English, Urdu, Hindi, Punjabi",,,,,,
643,113,female,"English, Tagalog-Filipino",,,,,,
644,113,female,"English, Tagalog-Filipino",,,,,,
646,113,female,"English, Tagalog-Filipino",,,,,,
647,113,female,"English, Tagalog-Filipino, Korean",,,,,,
651,113,female,"English, Tagalog-Filipino",,,,,,
652,113,female,"English, Tagalog-Filipino",,,,,,
657,113,female,"English, Tagalog-Filipino",,,,,,
662,113,female,"English, Tagalog-Filipino",,,,,,
664,113,male,"English, Tagalog-Filipino",,,,,,
665,113,female,"English, Tagalog-Filipino",,,,,,
667,113,female,"English, Bahasa-Indonesian",,,,,,
668,111,female,"English, Korean",,,,,,
671,111,female,"English, Japanese",,,,,,
676,111,female,"English, Mandarin, Fuzhounese",,,,,,
677,111,female,"English, Japanese, Spanish",,,,,,
678,111,female,"English, Mandarin",,,,,,
679,111,female,"English, Japanese",,,,,,
680,111,male,"English, Mandarin",,,,,,
681,111,male,"English, Korean",,,,,,
682,111,female,"English, Japanese",,,,,,
683,113,female,"English, Tagalog-Filipino",,,,,,
684,113,male,"English, Tagalog-Filipino",,,,,,
685,113,female,"English, Tagalog-Filipino",,,,,,
686,113,male,"English, Tagalog-Filipino",,,,,,
687,113,male,"English, Malay, Indonesian, Japanese, Iban",,,,,,
689,113,female,"English, Tagalog-Filipino, Japanese",,,,,,
690,113,female,"English, Indonesian",,,,,,
691,113,female,"English, Indonesian",,,,,,
692,113,female,"English, Tagalog-Filipino",,,,,,
693,113,female,"English, Indonesian",,,,,,
694,113,female,"English, Tagalog-Filipino, Korean",,,,,,
695,113,male,"English, Tagalog-Filipino, Spanish",,,,,,
697,113,female,"English, Tagalog-Filipino",,,,,,
698,101,female,"English, Italian, Spanish",,,,,,
699,101,male,"English, Italian",,,,,,
700,101,female,"English, Polish, Italian, Spanish",,,,,,
701,101,female,"English, Spanish, French",,,,,,
702,101,female,"English, French, Spanish",,,,,,
704,101,female,"English, French",,,,,,
707,101,female,"English, French, Spanish",,,,,,
708,101,female,"English, German, Spanish",,,,,,
710,101,male,"English, French, German, Spanish",,,,,,
711,101,male,"English, Spanish, German",,,,,,
712,101,female,"English, Slovak, Ukrainian, French",,,,,,
714,101,female,"English, Spanish, English, German",,,,,,
715,101,female,"English, Spanish, German, French",,,,,,
716,101,female,"English, Spanish, English, German",,,,,,
717,101,female,"English, German",,,,,,
