Emoji >,shy_blush,peaceful_smile,big_frown,blush_kissy,tongue_out,snoozing_sleeping,smirky_face,huff_puff,upside_down_smiley,angry_face,thinking_face,ironic_smiley,big_smile,sad_sweat,blushy_smiley,smile_sweat,clenched_teeth,sleep_snot,downcast_sad,sad_tear,laughing_tears,tears_streaming,yummy_smile,dead_eyes,bandage_head,cheesing_grin,sick_fever,surprised_face,content_blushy,flat_affect,scared_face,surprised_sad,very_sad,super_upset,money_eyes,not_happy,nerd_glasses,blowing_kiss,rolling_eyes,heart_eyes,sunglasses_smiley,peekaboo_smile,playful_wink,angel_smiley,upset_worried
Speakers>,bengali_9,bengali_13,bengali_16,gujarati_5,gujarati_13,gujarati_14,urdu_2,urdu_15,urdu_27,indonesian_1,indonesian_8,indonesian_10,tagalog_6,tagalog_9,tagalog_18,thai_2,thai_6,thai_7,japanese_11,japanese_12,japanese_26,korean_2,korean_24,korean_30,mandarin_14,mandarin_53,mandarin_63,english_21,english_89,english_103,english_428,english_212,english_357,english_288,english_171,english_126,english_3,english_73,english_153,english_2,english_38,english_460,africaans_2,africaans _5,africaans _42
Language/Dialect,Bengali,Bengali,Bengali,Gujarati,Gujarati,Gujarati,Urdu,Urdu,Urdu,Indonesian,Indonesian,Indonesian,Tagalog,Tagalog,Tagalog,Thai,Thai,Thai,Japanese,Japanese,Japanese,Korean,Korean,Korean,Mandarin,Mandarin,Mandarin,New England,New England,New England,Southern,Southern,Southern,Midland American,Midland American,Midland American,Australian,Australian,Australian,British,British,British,African/Africaans,African/Africaans,African/Africaans
LNG_1,South,South,South,South,South,South,South,South,South,South East,South East,South East,South East,South East,South East,South East,South East,South East,East,East,East,East,East,East,East,East,East,American,American,American,American,American,American,American,American,American,International ,International ,International ,International ,International ,International ,International ,International ,International 
LNG_2,Asian,Asian,Asian,Asian,Asian,Asian,South,South,South,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,Asian,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English
Participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,6,1,4,1,5,6,2,4,9,9,3,5,5,2,5,1,3,1,9,4,2,5,3,5,1,5,8,11,10,8,9,10,7,11,6,7,11,11,8,6,7,9,10,11
7,5,5,5,5,5,5,5,5,5,2,5,5,5,4,5,2,2,6,2,2,6,6,6,2,6,6,2,4,4,4,4,4,4,4,4,4,3,1,1,3,3,3,3,3,1
1,5,5,5,5,5,5,5,5,5,6,2,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,3,3,1,3,1,1,1,3,3,3,3,3,3,5,3,5
10,1,7,7,1,1,1,1,1,1,6,2,7,2,2,7,6,6,6,7,6,6,6,2,6,6,6,2,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3
11,11,14,7,14,15,7,14,13,15,11,7,15,8,8,12,11,10,9,12,13,9,12,9,10,13,10,8,6,4,4,6,5,6,5,5,4,3,3,1,1,2,3,2,2,1
12,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,4,2,2,2,2,4,2,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
14,1,2,3,1,2,1,1,2,1,10,12,3,12,12,3,8,8,9,8,10,9,8,9,9,12,10,12,6,6,6,5,4,5,4,4,5,7,11,11,7,7,11,11,7,7
15,8,7,6,7,8,8,7,8,7,12,11,6,11,11,6,12,12,10,9,12,10,9,12,10,12,9,6,4,4,4,3,3,3,5,5,5,2,2,2,1,1,1,1,1,2
16,4,4,2,4,4,4,4,4,4,1,1,2,3,3,2,1,1,1,6,3,1,6,1,6,3,1,6,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5
17,2,2,8,9,2,9,9,8,9,9,8,9,10,9,8,1,1,1,8,9,8,n/a,10,1,1,10,10,4,4,4,5,3,5,3,3,5,7,6,6,6,7,7,7,7,7
18,2,6,3,9,6,9,6,9,9,9,9,9,9,9,2,1,2,1,1,6,2,2,3,2,2,3,6,8,7,8,8,7,7,7,7,7,5,4,5,5,4,4,5,5,4
19,1,3,3,1,1,3,1,1,3,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2
2,9,9,3,9,9,9,9,9,9,8,3,3,3,3,3,8,8,8,6,6,8,8,6,8,8,8,8,5,5,5,2,2,2,1,1,1,7,7,7,7,4,4,4,4,4
20,7,1,1,4,4,5,5,5,4,5,7,8,2,4,8,7,6,6,8,1,2,2,3,6,3,2,3,11,11,11,9,9,9,10,10,10,12,12,12,12,12,12,12,12,12
23,4,4,3,3,5,7,7,7,5,7,5,3,5,5,3,6,6,6,4,6,6,4,3,6,6,6,5,8,8,2,8,8,8,8,8,8,1,8,2,1,1,1,2,1,1
25,5,5,4,5,5,5,5,5,2,2,4,4,7,4,4,7,7,7,2,1,1,7,7,7,7,7,1,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3
26,1,4,6,4,6,4,6,6,1,3,5,5,6,4,6,5,5,1,6,1,1,1,5,1,5,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
27,1,2,1,2,2,4,2,5,2,4,4,4,1,4,1,8,8,8,8,3,3,8,8,3,8,8,8,6,7,6,6,7,6,7,7,6,5,5,5,5,5,5,5,5,5
28,1,3,3,4,4,6,4,2,3,6,8,1,n/a,1,n/a,7,8,7,4,2,2,5,6,7,5,8,5,10,10,10,12,12,12,13,n/a,13,9,n/a,11,11,9,9,11,9,13
29,11,11,10,8,8,1,11,8,11,9,9,9,9,1,1,12,12,10,11,7,10,10,1,10,7,12,7,4,4,4,5,5,5,6,6,6,3,3,3,2,2,2,2,3,3
3,5,12,2,9,5,5,1,9,5,9,8,6,8,9,2,9,10,4,4,1,4,5,1,2,10,4,7,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11
30,1,1,1,1,1,1,1,1,1,2,2,2,2,1,7,3,2,3,7,6,7,3,6,7,6,7,6,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6
31,7,8,7,7,7,6,7,8,7,8,6,8,6,7,5,5,5,5,5,5,6,5,5,5,6,6,6,3,3,3,2,2,2,4,4,4,1,1,1,1,1,1,1,1,1
32,7,11,8,9,9,9,9,10,10,6,11,10,11,8,8,12,12,12,6,13,13,7,13,12,6,1,7,4,4,3,5,5,5,4,4,5,1,1,3,1,2,1,2,2,3
33,9,9,9,9,9,9,9,9,9,5,5,9,5,5,5,6,6,6,7,7,7,8,8,8,8,8,8,6,6,6,5,5,5,4,4,4,1,2,2,3,1,3,3,2,1
34,8,8,8,6,8,6,8,8,6,8,7,8,7,6,7,9,9,9,10,10,10,10,10,10,7,7,7,3,4,3,5,5,5,4,4,3,1,2,1,1,1,2,1,2,1
35,10,10,10,10,10,10,10,10,10,9,9,9,4,9,9,5,4,4,9,6,6,5,5,5,4,6,6,3,3,3,2,1,2,2,1,1,7,7,7,8,8,7,8,7,8
36,8,11,11,8,2,9,8,10,9,7,8,2,9,7,11,1,1,1,7,7,8,10,8,11,10,2,7,4,4,4,3,5,3,5,5,5,6,3,6,6,6,6,6,6,6
38,1,1,6,1,1,1,1,1,1,9,9,6,9,9,6,7,7,8,8,8,8,8,8,8,7,7,7,4,4,4,3,3,3,4,4,3,2,2,2,5,5,5,5,5,5
4,3,4,3,2,2,4,7,2,7,2,2,7,4,7,3,5,5,6,3,5,3,6,6,3,6,6,6,8,7,8,8,8,8,8,8,8,1,1,1,1,1,8,1,1,1
40,1,12,8,8,12,13,4,3,11,3,2,4,3,13,9,14,10,11,8,n/a,2,10,1,1,13,11,10,7,7,7,6,15,14,15,2,15,4,5,5,9,5,12,6,6,14
41,10,1,8,7,1,2,6,1,10,2,2,1,2,10,8,8,9,9,2,2,9,8,8,9,9,9,8,5,5,5,5,3,5,3,3,3,4,7,7,4,4,4,6,7,6
42,1,1,1,1,1,1,6,1,1,6,6,6,6,6,6,n/a,7,7,7,7,7,7,7,7,7,6,7,4,4,3,5,4,5,4,4,5,2,3,3,2,2,2,2,2,3
43,1,8,8,8,8,8,8,8,8,9,9,9,n/a,8,1,1,2,5,2,4,2,2,4,5,4,2,5,6,6,7,3,6,3,6,3,3,10,7,7,7,10,10,10,10,10
44,12,11,11,8,11,11,8,13,8,10,7,10,7,13,9,9,9,10,12,12,12,13,12,11,13,9,7,5,6,4,5,4,5,4,6,6,3,3,2,1,1,1,2,3,2
45,1,1,1,3,1,6,8,6,8,7,4,1,7,4,8,7,7,8,8,6,8,8,7,8,7,8,7,2,4,4,2,4,4,2,4,2,3,5,5,3,5,3,5,5,6
46,5,5,1,11,11,3,2,11,5,11,11,3,7,9,1,1,2,1,3,2,1,7,9,7,5,7,9,6,6,6,4,6,4,6,6,4,10,8,8,10,10,8,8,10,10
47,1,4,2,2,6,4,2,5,2,3,4,6,5,3,5,1,5,1,6,n/a,1,5,3,1,6,6,4,7,7,7,8,8,8,7,7,7,9,9,9,9,9,9,9,9,9
48,5,1,5,2,5,5,5,5,5,7,7,1,7,7,7,1,1,1,4,4,4,1,4,4,4,1,4,9,9,9,6,6,6,8,8,8,2,3,3,2,3,2,3,3,3
49,8,8,7,8,8,8,8,8,8,9,2,2,2,1,1,9,9,9,1,7,7,1,9,9,7,7,7,5,4,5,3,3,3,4,5,4,6,6,6,6,6,6,6,6,6
5,1,5,5,10,2,3,9,9,5,4,12,5,3,4,8,4,3,1,8,9,n/a,2,8,8,3,2,8,11,12,11,7,11,7,12,11,7,13,6,6,13,10,6,10,13,6
50,3,4,4,3,4,3,3,3,3,3,4,4,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
51,7,7,7,7,7,7,7,7,7,4,5,1,1,6,1,5,5,4,7,6,4,6,6,4,5,4,5,8,8,8,10,10,10,9,9,9,3,3,3,2,2,2,2,2,3
52,1,3,3,11,1,15,14,2,14,15,15,14,4,2,3,12,12,9,1,4,9,13,4,13,13,12,9,8,6,8,5,7,5,7,7,8,10,5,6,11,11,10,2,10,6
53,8,8,8,8,8,8,8,8,8,6,5,7,7,7,7,6,6,6,3,3,3,6,6,4,6,6,6,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
54,5 ,4,8 ,10 ,10 ,2 ,9 ,6 ,10 ,7 ,2 ,9 ,1 ,5 ,9 ,11 ,1 ,9 ,8 ,6 ,9 ,8 ,15 ,5 ,15 ,9 ,15 ,3 ,12 ,14 ,3 ,11 ,11 ,3 ,11 ,13 ,13 ,12 ,7 ,13 ,1 ,8 ,5 ,7 ,6 
55,9,9,9,9,9,8,8,9,8,8,8,8,8,8,8,6,6,6,7,7,7,6,6,6,6,6,6,5,5,5,4,3,4,3,5,3,1,2,2,2,1,1,1,2,2
56,1,1,8,7,7,8,7,6,6,8,2,1,2,1,1,9,8,9,3,3,9,2,3,3,9,8,2,10,10,10,12,11,12,11,11,12,4,4,4,5,5,5,6,5,4
58,1,8,1,3,10,6,3,6,3,4,4,7,9,4,7,2,9,8,7,2,8,5,2,5,6,1,9,14,15,14,14,15,15,13,13,13,12,11,12,10,n/a,10,11,11,12
59,5,11,6,11,5,5,4,5,11,3,3,6,3,11,12,4,10,10,12,4,12,9,9,10,6,4,9,7,3,7,8,8,8,7,7,8,2,1,1,2,2,2,2,1,3
6,9,7,7,7,7,6,7,6,6,5,10,7,6,6,12,11,8,13,12,12,8,8,7,8,10,6,10,5,4,3,5,3,4,3,4,3,2,2,2,2,1,2,1,2,1
78,1,1,5,1,1,2,1,1,1,6,6,5,6,6,7,7,7,7,5,2,7,5,7,7,7,7,2,8,8,8,3,3,3,4,4,4,9,3,9,9,9,9,9,9,9
87,11,11,11,11,11,11,11,11,11,5,6,3,6,5,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,2,2,7,2,7,7,4,9,9,9,9,9,9,9,9,1
90,1,1,2,2,2,8,2,1,2,3,3,8,9,8,3,9,9,9,8,1,10,10,10,10,9,3,9,5,4,4,6,6,6,5,5,6,7,4,4,7,7,7,7,7,4
91,11,11,6,10,11,11,10,11,10,11,5,5,5,9,8,8,8,7,11,11,9,6,9,7,6,7,5,4,3,4,2,3,2,3,4,2,1,1,1,1,1,1,1,1,5
96,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,3,3,3,2,2,3,3,3,3,2,3,2,7,7,7,7,7,7,7,7,7,6,5,5,5,6,6,6,6,5
105,6,6,6,1,6,6,6,6,6,7,7,6,2,7,5,5,5,5,5,5,6,5,6,n/a,5,5,5,2,2,2,3,2,3,2,2,3,1,4,4,4,1,1,1,1,4
110,11,11,10,11,11,11,11,11,9,9,9,10,9,9,9,4,5,4,8,5,8,8,5,4,5,5,5,7,7,7,3,6,3,6,6,3,2,1,1,2,2,n/a,2,2,1
111,1,7,6,6,2,6,1,1,8,8,8,8,8,8,2,3,3,2,3,1,7,9,1,7,9,9,6,5,5,5,5,5,5,5,5,5,4,4,4,4,5,6,8,4,6
115,2,8,8,8,8,9,8,2,8,9,10,9,10,10,11,7,1,11,12,7,12,2,12,11,7,1,1,6,6,6,5,5,5,3,3,3,4,4,4,4,4,4,4,4,4
121,1,6,6,6,6,6,6,6,6,5,4,4,5,6,4,7,8,7,1,8,1,8,8,7,5,5,5,9,10,9,9,10,9,10,10,10,3,2,2,3,3,3,4,3,2
123,9,9,10,9,9,9,9,9,8,8,10,10,8,9,10,7,6,6,7,7,7,7,7,7,7,6,6,5,3,5,4,4,4,3,3,3,1,2,2,2,1,1,1,1,2
125,1,1,10,10,10,8,1,10,1,9,8,8,9,9,8,7,9,9,10,7,7,1,9,7,9,8,7,3,3,3,4,4,4,2,2,2,5,6,5,6,6,5,6,6,5
132,3,6,4,4,4,4,4,3,3,9,9,6,10,3,10,8,9,8,6,8,9,9,9,8,9,8,10,7,7,2,7,5,7,5,5,7,1,2,2,1,2,1,1,1,2
133,1,2,2,3,2,2,5,3,2,5,5,5,5,5,4,1,1,4,4,3,4,1,1,4,4,5,1,6,6,6,6,6,6,6,6,6,7,6,7,7,7,7,7,7,7
135,1,3,3,2,1,1,1,2,1,10,3,3,7,10,3,10,10,8,9,3,9,9,9,9,8,8,8,7,7,7,6,7,6,7,7,6,5,5,5,4,4,4,4,4,5
148,1,6,1,3,1,2,1,1,1,2,2,3,3,3,6,6,6,6,1,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
151,5,9,7,5,5,5,5,5,6,6,1,7,6,7,7,7,1,1,1,8,1,1,1,1,8,1,1,4,10,10,11,4,11,4,4,4,3,2,2,2,3,3,3,3,3
152,1,1,4,3,1,3,3,3,3,9,9,4,4,9,9,2,2,11,12,12,12,11,11,11,11,2,11,10,10,10,5,5,5,6,6,6,13,7,13,8,7,13,8,8,7
153,8,8,8,2,2,8,n/a,1,2,2,8,8,3,8,1,7,7,1,8,7,7,8,7,7,1,7,7,3,3,3,4,3,4,n/a,3,4,6,6,6,5,5,5,5,5,6
155,4,4,11,5,5,5,5,5,5,6,10,6,6,11,4,3,10,3,10,10,3,10,11,4,10,4,10,9,9,9,7,7,7,8,8,8,2,2,2,1,1,1,1,1,1
156,8,10,8,9,9,9,8,9,8,10,10,10,10,10,11,6,11,11,11,5,11,6,6,6,5,5,6,4,4,4,7,7,7,3,3,3,1,2,2,1,1,1,1,1,2
157,6,6,6,6,6,6,6,5,5,4,7,7,6,4,7,4,4,7,6,7,7,7,7,4,7,5,7,3,1,2,3,3,3,3,1,1,2,2,2,1,1,2,3,1,6
158,5,5,3,3,3,3,3,3,3,4,5,5,4,5,5,4,4,4,3,3,4,4,4,5,3,4,5,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
159,1,2,2,1,1,8,1,8,2,8,8,2,8,8,1,6,6,7,1,6,7,7,6,7,6,7,6,5,5,5,5,5,5,5,5,5,4,4,3,3,3,4,4,4,4
160,5,1,3,3,4,4,3,5,3,4,5,5,5,4,5,4,5,5,3,3,5,3,4,4,5,5,5,2,2,2,3,2,2,2,2,2,2,1,2,1,1,n/a,1,1,4
161,1,14,14,14,14,5,14,14,6,6,4,6,5,5,1,3,3,3,4,13,4,13,1,13,2,2,2,11,11,11,12,12,12,7,7,7,8,10,10,9,9,9,8,8,10
162,7,7,7,7,7,3,7,7,3,3,3,7,4,3,7,4,4,4,7,3,4,7,7,4,3,3,3,6,5,6,6,5,6,5,5,6,2,1,1,2,2,2,2,2,1
163,4,6,7,5,5,7,5,5,6,6,6,7,6,6,4,7,7,7,5,4,7,7,7,7,4,5,6,3,3,3,3,3,3,3,3,3,1,2,2,1,1,1,1,1,2
164,1,4,1,6,6,6,6,6,1,4,6,4,4,4,5,4,4,5,5,4,5,5,4,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,2,2
165,5,5,5,6,5,7,6,6,6,7,6,6,7,7,5,8,8,8,5,7,8,8,7,8,7,5,8,4,4,1,3,4,3,4,4,3,2,1,1,2,1,2,1,1,7
166,1,1,1,1,1,6,1,1,6,5,5,6,n/a,5,5,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,3,2,2,2,3,3,3,3,2
167,7,4,7,4,7,7,4,7,7,7,1,6,7,7,1,6,6,6,1,2,6,6,6,6,2,6,1,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,2
168,1,2,4,2,3,5,6,5,6,5,7,9,7,6,1,1,4,8,3,7,9,9,4,8,8,8,8,10,10,10,2,10,10,10,10,10,11,n/a,11,11,11,2,11,11,11
169,2,4,4,5,6,1,5,3,4,1,1,3,3,1,4,7,6,6,2,5,2,2,2,2,7,5,7,9,9,10,8,8,8,9,9,9,10,10,10,11,11,11,11,11,11